year,city,number_of_high_schools,number_of_bachelor_graduates_in_percent,number_of_high_school_graduates_in_percent,number_of_high_school_students,Registration_for_higher_education_within_8_years_in_percent,number_of_students_in_percent
2019,כפר קרע,6,17.97,59.82,1223,32.50,2.63
2019,כפר שמריהו,-,46.97,-,-,..,3.58
2019,כפר תבור,-,52.48,86.84,-,..,4.53
2019,כרמיאל,11,21.33,73.23,1942,37,3.02
2019,להבים,-,70.26,87.50,-,58.30,6.35
2019,לוד,18,11.39,57.07,4304,25.30,1.97
2019,לקיה,3,9.65,43.91,992,14.10,1.87
2019,מבשרת ציון,3,42.52,80.73,1025,51.70,4.22
2019,מגאר,4,13.24,76.59,1167,37.70,2.98
2019,מג'ד אל-כרום,7,10.04,65.19,1114,28.20,2.67
2019,מגדל,-,19.59,-,-,..,2.75
2019,מגדל העמק,9,13.83,64.94,1480,30.20,2.13
2019,מג'דל שמס,1,7.42,68.69,554,41.40,3.05
2019,מודיעין עילית,39,3.79,3.20,6014,53.80,3.78
2019,מודיעין-מכבים-רעות*,15,54.79,90.92,5702,10.20,0.43
2019,מזכרת בתיה,2,53.79,83.89,744,50,3.56
2019,מזרעה,-,10.2,60.38,-,..,1.97
2019,מטולה,-,38.79,-,-,..,8.94
2019,מיתר,1,63.52,88.24,449,50,4.63
2019,מסעדה,1,5.42,87.72,307,..,2.73
2019,מעיליא,1,31.46,75.44,370,..,3.97
2019,מעלה אדומים,8,24.87,87.33,2130,43.90,3.87
2019,מעלה אפרים,1,18.74,-,104,..,2.76
2019,מעלה עירון,2,10.61,59.94,840,23.70,2.03
2019,מעלות-תרשיחא,4,18.36,69.73,962,42.60,2.75
2019,מצפה רמון,2,22.75,87.93,332,30.90,3.28
2019,משהד,3,10.59,65.08,686,35,2.7
2019,נהרייה,8,21.25,71.49,1940,39.70,2.64
2019,נוף הגליל,6,16.56,64.78,940,37,2.42
2019,נחף,3,12.44,41.11,848,38.10,3.11
2019,נס ציונה,7,50.99,87.75,1990,53.50,3.11
2019,נצרת,24,15.01,56.49,6340,34,2.82
2019,נשר,2,29.66,78.48,603,48.40,4.68
2019,נתיבות,13,14.68,62.59,1568,31.40,2.27
2019,נתניה,29,22.35,73.36,8172,37.60,2.27
2019,סאג'ור,1,16.12,78.48,173,..,3.68
2019,סביון*,-,51.65,94.05,-,..,4.0
2019,סח'נין,6,15.78,70.92,1942,39.50,3.44
2019,ע'ג'ר,1,9.81,87.76,152,..,2.69
